Year,Goals.SCORED,Goals.Conceded,WIN.LOSE.DRAW,Formation,Shots,Shot.on.Target,Possession,Passes,Fouls,Yellow.Cards,Red.Cards,OffSides,Corners,RedCardsFlag
2020,5,0,Win,4.3.3,26,8,71,799,3,0,0,1,7,No
2019,1,0,Win,4.3.3,25,7,70,608,7,1,0,3,6,No
2022,4,1,Win,4.3.3,19,6,65,569,5,1,0,2,6,No
2019,1,0,Win,4.3.3,19,5,61,636,12,3,0,2,11,No
2018,3,1,Win,4.3.3,14,6,77,783,10,3,0,2,8,No
2019,3,1,Win,4.3.3,19,12,59,613,11,1,0,5,4,No
2018,1,0,Win,4.3.3,13,6,52,514,13,2,0,4,3,No
2022,4,0,Win,4.3.3,22,9,72,707,8,2,0,2,12,No
2018,4,0,Win,4.3.3,9,6,70,839,3,0,0,3,1,No
2019,3,1,Win,4.3.3,18,5,74,728,13,3,0,4,5,No
2021,2,0,Win,4.3.3,28,9,70,628,10,0,0,3,16,No
2019,3,1,Win,4.2.3.1,23,12,63,690,14,2,0,1,6,No
2020,2,1,Win,4.4.1.1,16,8,52,594,10,1,0,0,4,No
2020,5,0,Win,4.3.3,23,9,74,843,13,0,0,2,8,No
2019,2,1,Win,4.3.3,15,4,46,558,5,1,0,3,8,No
2021,3,1,Win,4.4.2,20,9,72,601,5,1,0,2,5,No
2021,2,0,Win,4.3.3,13,6,75,804,5,1,0,2,3,No
2023,3,1,Win ,4.1.4.1,9,6,36,303,15,4,0,3,2,No
2018,3,1,Win,4.3.3,13,5,67,705,7,1,0,3,6,No
2019,2,2,Draw,4.2.3.1,30,10,56,610,14,1,0,3,13,No
2018,3,1,Win,4.3.3,17,5,65,700,12,1,0,0,5,No
2022,2,0,Win,4.3.3,18,6,77,778,6,0,0,0,8,No
2019,8,0,Win,4.3.3,28,11,69,727,5,2,0,2,5,No
2018,5,0,Win,4.3.3,24,10,70,679,11,2,0,0,10,No
2018,3,1,Win,4.3.3,18,7,77,854,8,1,0,1,9,No
2020,0,1,Lose,4.3.3,26,6,74,89,7,2,0,3,13,No
2021,5,0,Win,4.3.3,16,4,67,730,13,1,0,2,6,No
2018,3,0,Win,4.3.3,28,9,65,736,7,0,0,5,10,No
2021,0,1,Lose,4.3.3,12,3,57,568,8,2,0,3,7,No
2023,0,2,Lose,4.3.3,7,0,72,722,5,0,0,1,3,No
2023,4,1,Win ,4.3.3,14,9,52,496,13,3,0,0,1,No
2018,1,1,Draw,4.3.3,18,6,72,644,8,2,0,3,9,No
2022,2,1,Win ,4.3.3,12,3,66,709,9,2,0,0,6,No
2019,2,0,Win,4.3.3,24,7,66,679,12,0,0,1,11,No
2019,3,2,Win,4.3.3,22,9,69,637,6,1,0,5,13,No
2019,1,0,Win,4.3.3,15,4,61,582,11,1,0,2,4,No
2018,3,1,Win,4.3.3,19,7,74,854,5,0,0,1,4,No
2020,5,0,Win,4.3.3,19,7,72,816,8,1,0,1,3,No
2021,0,0,Draw,4.3.3,16,1,64,555,5,0,0,4,8,No
2022,6,0,Win,4.2.3.1,17,9,75,785,9,0,0,2,10,No
2019,6,0,Win,4.3.3,23,11,70,631,8,1,0,2,13,No
2022,1,0,Win,4.3.3,15,2,71,696,8,2,0,1,9,No
2020,3,1,Win,4.2.3.1,14,9,66,692,8,3,0,3,6,No
2020,1,1,Draw,4.3.3,23,2,47,389,12,1,0,3,10,No
2022,3,1,Win,4.3.3,15,10,56,659,18,3,0,3,9,No
2020,2,1,Win,3.4.2.1,7,2,34,401,11,4,0,1,6,No
2022,5,1,Win,4.2.3.1,15,5,67,787,11,1,0,3,2,No
2018,2,0,Win,4.3.3,27,7,65,733,9,1,0,0,10,No
2019,2,0,Win,4.3.3,15,4,62,546,6,1,0,5,6,No
2023,3,0,Win ,3.2.4.2,16,7,69,723,8,0,0,1,6,No
2022,4,0,Win ,4.2.3.1,21,8,66,744,4,0,0,1,9,No
2022,4,1,Win ,4.3.3,23,9,77,782,9,3,0,3,9,No
2018,0,0,Draw,4.2.3.1,6,2,51,528,10,3,0,5,6,No
2019,2,0,Win,4.3.3,21,10,72,682,10,1,0,2,8,No
2019,4,3,Win,4.3.3,20,8,66,592,8,0,0,3,4,No
2019,0,2,Lose,4.2.3.1,18,2,76,714,11,5,0,1,9,No
2019,3,2,Win,4.3.3,21,6,67,639,9,2,1,0,9,Yes
2020,2,0,Win,4.3.3,11,6,76,862,5,2,0,1,7,No
